sample_id	chrom	start	end	cn_a	cn_b
sample_2	chrom3	2	3	0	0
sample_2	chrom3	3	4	0	0
sample_2	chrom3	4	5	0	0
sample_2	chrom3	5	6	0	0
sample_2	chrom3	6	7	0	0
sample_2	chrom3	7	8	0	0
sample_2	chrom3	8	9	0	0
sample_2	chrom3	9	10	0	0
sample_2	chrom4	0	1	0	0
sample_2	chrom4	1	2	0	0
sample_2	chrom4	2	3	0	0
sample_2	chrom4	3	4	0	0
sample_2	chrom4	4	5	0	0
sample_2	chrom4	5	6	1	0
sample_2	chrom4	6	7	0	0
sample_2	chrom4	7	8	0	0
sample_2	chrom4	8	9	0	0
sample_2	chrom4	9	10	0	0
sample_3	chrom1	0	1	1	0
sample_3	chrom1	1	2	0	0
sample_3	chrom1	2	3	0	0
sample_3	chrom1	3	4	0	0
sample_3	chrom1	4	5	0	0
sample_3	chrom1	5	6	0	0
sample_3	chrom1	6	7	0	0
sample_3	chrom1	7	8	0	0
sample_3	chrom1	8	9	0	0
sample_3	chrom1	9	10	0	0
sample_3	chrom2	0	1	0	0
sample_3	chrom2	1	2	0	1
sample_3	chrom2	2	3	0	0
sample_3	chrom2	3	4	0	0
sample_3	chrom2	4	5	0	0
sample_3	chrom2	5	6	0	0
sample_3	chrom2	6	7	0	0
sample_3	chrom2	7	8	0	0
sample_3	chrom2	8	9	0	0
sample_3	chrom2	9	10	0	0
sample_3	chrom3	0	1	0	0
sample_3	chrom3	1	2	0	0
sample_3	chrom3	2	3	0	0
sample_3	chrom3	3	4	0	0
sample_3	chrom3	4	5	0	0
sample_3	chrom3	5	6	0	0
sample_3	chrom3	6	7	0	0
sample_3	chrom3	7	8	0	1
sample_3	chrom3	8	9	0	0
sample_3	chrom3	9	10	0	0
sample_3	chrom4	0	1	0	0
sample_3	chrom4	1	2	0	0
sample_3	chrom4	2	3	0	0
sample_3	chrom4	3	4	0	0
sample_3	chrom4	4	5	0	0
sample_3	chrom4	5	6	0	0
sample_3	chrom4	6	7	0	0
sample_3	chrom4	7	8	0	0
sample_3	chrom4	8	9	0	0
sample_3	chrom4	9	10	0	0
sample_4	chrom1	0	1	0	0
sample_4	chrom1	1	2	0	0
sample_4	chrom1	2	3	0	0
sample_4	chrom1	3	4	0	0
sample_4	chrom1	4	5	0	0
sample_4	chrom1	5	6	0	0
sample_4	chrom1	6	7	0	0
sample_4	chrom1	7	8	0	0
sample_4	chrom1	8	9	0	0
sample_4	chrom1	9	10	0	0
sample_4	chrom2	0	1	0	0
sample_4	chrom2	1	2	0	0
sample_4	chrom2	2	3	0	0
sample_4	chrom2	3	4	0	0
sample_4	chrom2	4	5	0	0
sample_4	chrom2	5	6	0	0
sample_4	chrom2	6	7	0	0
sample_4	chrom2	7	8	0	0
sample_4	chrom2	8	9	0	0
sample_4	chrom2	9	10	0	0
sample_4	chrom3	0	1	0	0
sample_4	chrom3	1	2	0	0
sample_4	chrom3	2	3	0	0
sample_4	chrom3	3	4	0	0
sample_4	chrom3	4	5	0	0
sample_4	chrom3	5	6	0	0
sample_4	chrom3	6	7	0	0
sample_4	chrom3	7	8	0	0
sample_4	chrom3	8	9	0	0
sample_4	chrom3	9	10	0	0
sample_4	chrom4	0	1	0	0
sample_4	chrom4	1	2	0	0
sample_4	chrom4	2	3	0	0
sample_4	chrom4	3	4	0	0
sample_4	chrom4	4	5	0	0
sample_4	chrom4	5	6	0	0
sample_4	chrom4	6	7	0	0
sample_4	chrom4	7	8	0	0
sample_4	chrom4	8	9	0	0
sample_4	chrom4	9	10	0	0
sample_5	chrom1	0	1	0	0
sample_5	chrom1	1	2	0	0
sample_5	chrom1	2	3	0	0
sample_5	chrom1	3	4	0	0
sample_5	chrom1	4	5	0	0
sample_5	chrom1	5	6	0	0
sample_5	chrom1	6	7	0	0
sample_5	chrom1	7	8	0	0
sample_5	chrom1	8	9	0	0
sample_5	chrom1	9	10	0	0
sample_5	chrom2	0	1	0	0
sample_5	chrom2	1	2	0	0
sample_5	chrom2	2	3	0	0
sample_5	chrom2	3	4	0	0
sample_5	chrom2	4	5	0	0
sample_5	chrom2	5	6	0	0
sample_5	chrom2	6	7	0	0
sample_5	chrom2	7	8	0	0
sample_5	chrom2	8	9	0	0
sample_5	chrom2	9	10	0	0
sample_5	chrom3	0	1	0	0
sample_5	chrom3	1	2	0	0
sample_5	chrom3	2	3	0	0
sample_5	chrom3	3	4	0	0
sample_5	chrom3	4	5	0	0
sample_5	chrom3	5	6	0	0
sample_5	chrom3	6	7	0	0
sample_5	chrom3	7	8	0	0
sample_5	chrom3	8	9	0	0
sample_5	chrom3	9	10	0	0
sample_5	chrom4	0	1	0	0
sample_5	chrom4	1	2	0	0
sample_5	chrom4	2	3	0	0
sample_5	chrom4	3	4	0	0
sample_5	chrom4	4	5	0	0
sample_5	chrom4	5	6	0	0
sample_5	chrom4	6	7	0	0
sample_5	chrom4	7	8	0	0
sample_5	chrom4	8	9	0	0
sample_5	chrom4	9	10	0	0
sample_6	chrom1	0	1	0	0
sample_6	chrom1	1	2	0	0
sample_6	chrom1	2	3	0	0
sample_6	chrom1	3	4	0	0
sample_6	chrom1	4	5	0	0
sample_6	chrom1	5	6	0	0
sample_6	chrom1	6	7	0	0
sample_6	chrom1	7	8	0	0
sample_6	chrom1	8	9	0	0
sample_6	chrom1	9	10	0	0
sample_6	chrom2	0	1	0	0
sample_6	chrom2	1	2	0	0
sample_6	chrom2	2	3	0	0
sample_6	chrom2	3	4	0	0
sample_6	chrom2	4	5	0	0
sample_6	chrom2	5	6	0	0
sample_6	chrom2	6	7	0	0
sample_6	chrom2	7	8	0	0
sample_6	chrom2	8	9	0	0
sample_6	chrom2	9	10	0	0
sample_6	chrom3	0	1	0	0
sample_6	chrom3	1	2	0	0
sample_6	chrom3	2	3	0	0
sample_6	chrom3	3	4	0	0
sample_6	chrom3	4	5	0	0
sample_6	chrom3	5	6	0	0
sample_6	chrom3	6	7	0	0
sample_6	chrom3	7	8	0	0
sample_6	chrom3	8	9	0	0
sample_6	chrom3	9	10	0	0
sample_6	chrom4	0	1	0	0
sample_6	chrom4	1	2	0	0
sample_6	chrom4	2	3	0	0
sample_6	chrom4	3	4	0	0
sample_6	chrom4	4	5	0	0
sample_6	chrom4	5	6	1	0
sample_6	chrom4	6	7	0	0
sample_6	chrom4	7	8	0	0
sample_6	chrom4	8	9	0	0
sample_6	chrom4	9	10	0	0
sample_7	chrom1	0	1	0	0
sample_7	chrom1	1	2	0	0
sample_7	chrom1	2	3	0	0
sample_7	chrom1	3	4	0	0
sample_7	chrom1	4	5	0	0
sample_7	chrom1	5	6	0	0
sample_7	chrom1	6	7	0	0
sample_7	chrom1	7	8	0	0
sample_7	chrom1	8	9	0	0
sample_7	chrom1	9	10	0	0
sample_7	chrom2	0	1	0	0
sample_7	chrom2	1	2	0	0
sample_7	chrom2	2	3	0	0
sample_7	chrom2	3	4	0	0
sample_7	chrom2	4	5	0	0
sample_7	chrom2	5	6	0	0
sample_7	chrom2	6	7	0	0
sample_7	chrom2	7	8	0	0
sample_7	chrom2	8	9	0	0
sample_7	chrom2	9	10	0	0
sample_7	chrom3	0	1	0	0
sample_7	chrom3	1	2	0	0
sample_7	chrom3	2	3	0	0
sample_7	chrom3	3	4	0	0
sample_7	chrom3	4	5	0	0
sample_7	chrom3	5	6	0	0
sample_7	chrom3	6	7	0	0
sample_7	chrom3	7	8	0	0
sample_7	chrom3	8	9	0	0
sample_7	chrom3	9	10	0	0
sample_7	chrom4	0	1	0	0
sample_7	chrom4	1	2	0	0
sample_7	chrom4	2	3	0	0
sample_7	chrom4	3	4	0	0
sample_7	chrom4	4	5	0	0
sample_7	chrom4	5	6	0	0
sample_7	chrom4	6	7	0	0
sample_7	chrom4	7	8	0	0
sample_7	chrom4	8	9	0	0
sample_7	chrom4	9	10	0	0
sample_8	chrom1	0	1	0	0
sample_8	chrom1	1	2	0	0
sample_8	chrom1	2	3	0	0
sample_8	chrom1	3	4	0	0
sample_8	chrom1	4	5	0	0
sample_8	chrom1	5	6	0	0
sample_8	chrom1	6	7	0	0
sample_8	chrom1	7	8	0	0
sample_8	chrom1	8	9	0	0
sample_8	chrom1	9	10	0	0
sample_8	chrom2	0	1	0	0
sample_8	chrom2	1	2	0	0
sample_8	chrom2	2	3	0	0
sample_8	chrom2	3	4	0	0
sample_8	chrom2	4	5	0	0
sample_8	chrom2	5	6	0	0
sample_8	chrom2	6	7	0	0
sample_8	chrom2	7	8	0	0
sample_8	chrom2	8	9	0	0
sample_8	chrom2	9	10	0	0
sample_8	chrom3	0	1	0	0
sample_8	chrom3	1	2	0	0
sample_8	chrom3	2	3	0	0
sample_8	chrom3	3	4	0	0
sample_8	chrom3	4	5	0	0
sample_8	chrom3	5	6	0	0
sample_8	chrom3	6	7	0	0
sample_8	chrom3	7	8	0	0
sample_8	chrom3	8	9	0	0
sample_8	chrom3	9	10	0	0
sample_8	chrom4	0	1	0	0
sample_8	chrom4	1	2	0	0
sample_8	chrom4	2	3	0	0
sample_8	chrom4	3	4	0	0
sample_8	chrom4	4	5	0	0
sample_8	chrom4	5	6	0	0
sample_8	chrom4	6	7	0	0
sample_8	chrom4	7	8	0	0
sample_8	chrom4	8	9	0	0
sample_8	chrom4	9	10	0	0
sample_9	chrom1	0	1	0	0
sample_9	chrom1	1	2	0	0
sample_9	chrom1	2	3	0	0
sample_9	chrom1	3	4	0	0
sample_9	chrom1	4	5	0	0
sample_9	chrom1	5	6	0	0
sample_9	chrom1	6	7	0	0
sample_9	chrom1	7	8	0	0
sample_9	chrom1	8	9	0	0
sample_9	chrom1	9	10	0	0
sample_9	chrom2	0	1	0	0
sample_9	chrom2	1	2	0	0
sample_9	chrom2	2	3	0	0
sample_9	chrom2	3	4	0	0
sample_9	chrom2	4	5	0	0
sample_9	chrom2	5	6	0	0
sample_9	chrom2	6	7	0	1
sample_9	chrom2	7	8	0	0
sample_9	chrom2	8	9	0	0
sample_9	chrom2	9	10	0	0
sample_9	chrom3	0	1	0	0
sample_9	chrom3	1	2	0	0
sample_9	chrom3	2	3	0	0
sample_9	chrom3	3	4	0	0
sample_9	chrom3	4	5	0	0
sample_9	chrom3	5	6	0	0
sample_9	chrom3	6	7	0	0
sample_9	chrom3	7	8	0	0
sample_9	chrom3	8	9	0	0
sample_9	chrom3	9	10	0	0
sample_9	chrom4	0	1	0	0
sample_9	chrom4	1	2	0	0
sample_9	chrom4	2	3	0	0
sample_9	chrom4	3	4	0	0
sample_9	chrom4	4	5	0	0
sample_9	chrom4	5	6	0	0
sample_9	chrom4	6	7	0	0
sample_9	chrom4	7	8	0	0
sample_9	chrom4	8	9	0	0
sample_9	chrom4	9	10	0	0
sample_10	chrom1	0	1	0	0
sample_10	chrom1	1	2	0	0
sample_10	chrom1	2	3	0	0
sample_10	chrom1	3	4	0	0
sample_10	chrom1	4	5	0	0
sample_10	chrom1	5	6	0	0
sample_10	chrom1	6	7	0	0
sample_10	chrom1	7	8	0	0
sample_10	chrom1	8	9	0	0
sample_10	chrom1	9	10	0	0
sample_10	chrom2	0	1	0	0
sample_10	chrom2	1	2	0	0
sample_10	chrom2	2	3	0	0
sample_10	chrom2	3	4	0	0
sample_10	chrom2	4	5	0	0
sample_10	chrom2	5	6	0	0
sample_10	chrom2	6	7	0	0
sample_10	chrom2	7	8	1	0
sample_10	chrom2	8	9	0	0
sample_10	chrom2	9	10	0	0
sample_10	chrom3	0	1	0	0
sample_10	chrom3	1	2	0	0
sample_10	chrom3	2	3	0	0
sample_10	chrom3	3	4	0	0
sample_10	chrom3	4	5	0	0
sample_10	chrom3	5	6	0	0
sample_10	chrom3	6	7	0	0
sample_10	chrom3	7	8	0	0
sample_10	chrom3	8	9	0	0
sample_10	chrom3	9	10	0	0
sample_10	chrom4	0	1	0	0
sample_10	chrom4	1	2	0	0
sample_10	chrom4	2	3	0	0
sample_10	chrom4	3	4	0	0
sample_10	chrom4	4	5	0	0
sample_10	chrom4	5	6	0	0
sample_10	chrom4	6	7	0	0
sample_10	chrom4	7	8	0	0
sample_10	chrom4	8	9	0	0
sample_10	chrom4	9	10	0	0
sample_11	chrom1	0	1	0	0
sample_11	chrom1	1	2	0	0
sample_11	chrom1	2	3	0	0
sample_11	chrom1	3	4	0	0
sample_11	chrom1	4	5	0	0
sample_11	chrom1	5	6	0	0
sample_11	chrom1	6	7	0	0
sample_11	chrom1	7	8	0	0
sample_11	chrom1	8	9	0	0
sample_11	chrom1	9	10	0	0
sample_11	chrom2	0	1	0	0
sample_11	chrom2	1	2	0	0
sample_11	chrom2	2	3	0	0
sample_11	chrom2	3	4	0	0
sample_11	chrom2	4	5	0	0
sample_11	chrom2	5	6	0	0
sample_11	chrom2	6	7	0	0
sample_11	chrom2	7	8	0	0
sample_11	chrom2	8	9	0	0
sample_11	chrom2	9	10	0	0
sample_11	chrom3	0	1	0	0
sample_11	chrom3	1	2	0	0
sample_11	chrom3	2	3	0	0
sample_11	chrom3	3	4	0	0
sample_11	chrom3	4	5	0	0
sample_11	chrom3	5	6	0	0
sample_11	chrom3	6	7	0	0
sample_11	chrom3	7	8	0	0
sample_11	chrom3	8	9	0	0
sample_11	chrom3	9	10	0	0
sample_11	chrom4	0	1	0	0
sample_11	chrom4	1	2	0	0
sample_11	chrom4	2	3	0	1
sample_11	chrom4	3	4	0	0
sample_11	chrom4	4	5	0	0
sample_11	chrom4	5	6	0	0
sample_11	chrom4	6	7	0	0
sample_11	chrom4	7	8	0	0
sample_11	chrom4	8	9	0	0
sample_11	chrom4	9	10	0	1
sample_12	chrom1	0	1	0	0
sample_12	chrom1	1	2	0	0
sample_12	chrom1	2	3	0	0
sample_12	chrom1	3	4	0	0
sample_12	chrom1	4	5	0	0
sample_12	chrom1	5	6	0	0
sample_12	chrom1	6	7	0	0
sample_12	chrom1	7	8	0	0
sample_12	chrom1	8	9	0	0
sample_12	chrom1	9	10	0	0
sample_12	chrom2	0	1	0	0
sample_12	chrom2	1	2	0	0
sample_12	chrom2	2	3	0	0
sample_12	chrom2	3	4	0	0
sample_12	chrom2	4	5	0	0
sample_12	chrom2	5	6	0	0
sample_12	chrom2	6	7	0	0
sample_12	chrom2	7	8	0	0
sample_12	chrom2	8	9	0	0
sample_12	chrom2	9	10	0	0
sample_12	chrom3	0	1	0	0
sample_12	chrom3	1	2	0	0
sample_12	chrom3	2	3	0	0
sample_12	chrom3	3	4	0	0
sample_12	chrom3	4	5	0	0
sample_12	chrom3	5	6	0	0
sample_12	chrom3	6	7	0	0
sample_12	chrom3	7	8	0	0
sample_12	chrom3	8	9	0	0
sample_12	chrom3	9	10	0	0
sample_12	chrom4	0	1	0	0
sample_12	chrom4	1	2	0	0
sample_12	chrom4	2	3	0	0
sample_12	chrom4	3	4	0	0
sample_12	chrom4	4	5	0	0
sample_12	chrom4	5	6	0	0
sample_12	chrom4	6	7	0	0
sample_12	chrom4	7	8	0	0
sample_12	chrom4	8	9	0	0
sample_12	chrom4	9	10	0	0
sample_13	chrom1	0	1	0	0
sample_13	chrom1	1	2	0	0
sample_13	chrom1	2	3	0	0
sample_13	chrom1	3	4	0	0
sample_13	chrom1	4	5	0	0
sample_13	chrom1	5	6	0	0
sample_13	chrom1	6	7	0	0
sample_13	chrom1	7	8	0	0
sample_13	chrom1	8	9	0	0
sample_13	chrom1	9	10	0	0
sample_13	chrom2	0	1	0	0
sample_13	chrom2	1	2	0	0
sample_13	chrom2	2	3	0	0
sample_13	chrom2	3	4	0	0
sample_13	chrom2	4	5	0	0
sample_13	chrom2	5	6	0	0
sample_13	chrom2	6	7	0	1
sample_13	chrom2	7	8	0	0
sample_13	chrom2	8	9	0	0
sample_13	chrom2	9	10	0	0
sample_13	chrom3	0	1	0	0
sample_13	chrom3	1	2	0	0
sample_13	chrom3	2	3	0	0
sample_13	chrom3	3	4	0	0
sample_13	chrom3	4	5	0	0
sample_13	chrom3	5	6	0	0
sample_13	chrom3	6	7	0	0
sample_13	chrom3	7	8	0	0
sample_13	chrom3	8	9	0	0
sample_13	chrom3	9	10	0	0
sample_13	chrom4	0	1	0	0
sample_13	chrom4	1	2	0	0
sample_13	chrom4	2	3	0	0
sample_13	chrom4	3	4	0	0
sample_13	chrom4	4	5	0	0
sample_13	chrom4	5	6	0	0
sample_13	chrom4	6	7	0	0
sample_13	chrom4	7	8	0	0
sample_13	chrom4	8	9	0	0
sample_13	chrom4	9	10	0	0
sample_14	chrom1	0	1	0	0
sample_14	chrom1	1	2	0	0
sample_14	chrom1	2	3	0	0
sample_14	chrom1	3	4	0	0
sample_14	chrom1	4	5	0	0
sample_14	chrom1	5	6	0	0
sample_14	chrom1	6	7	0	0
sample_14	chrom1	7	8	0	0
sample_14	chrom1	8	9	0	0
sample_14	chrom1	9	10	0	0
sample_14	chrom2	0	1	0	0
sample_14	chrom2	1	2	0	0
sample_14	chrom2	2	3	0	0
sample_14	chrom2	3	4	0	0
sample_14	chrom2	4	5	0	0
sample_14	chrom2	5	6	0	0
sample_14	chrom2	6	7	0	1
sample_14	chrom2	7	8	0	0
sample_14	chrom2	8	9	0	0
sample_14	chrom2	9	10	0	0
sample_14	chrom3	0	1	0	0
sample_14	chrom3	1	2	0	0
sample_14	chrom3	2	3	0	0
sample_14	chrom3	3	4	0	0
sample_14	chrom3	4	5	0	0
sample_14	chrom3	5	6	0	0
sample_14	chrom3	6	7	0	0
sample_14	chrom3	7	8	0	0
sample_14	chrom3	8	9	0	0
sample_14	chrom3	9	10	0	0
sample_14	chrom4	0	1	0	0
sample_14	chrom4	1	2	0	0
sample_14	chrom4	2	3	0	0
sample_14	chrom4	3	4	0	0
sample_14	chrom4	4	5	0	0
sample_14	chrom4	5	6	0	0
sample_14	chrom4	6	7	0	0
sample_14	chrom4	7	8	0	0
sample_14	chrom4	8	9	0	0
sample_14	chrom4	9	10	0	0
sample_15	chrom1	0	1	0	0
sample_15	chrom1	1	2	0	0
sample_15	chrom1	2	3	0	0
sample_15	chrom1	3	4	0	0
sample_15	chrom1	4	5	0	0
sample_15	chrom1	5	6	0	0
sample_15	chrom1	6	7	0	0
sample_15	chrom1	7	8	0	0
sample_15	chrom1	8	9	0	0
sample_15	chrom1	9	10	0	0
sample_15	chrom2	0	1	0	0
sample_15	chrom2	1	2	0	0
sample_15	chrom2	2	3	0	0
sample_15	chrom2	3	4	0	0
sample_15	chrom2	4	5	0	0
sample_15	chrom2	5	6	0	0
sample_15	chrom2	6	7	0	0
sample_15	chrom2	7	8	0	0
sample_15	chrom2	8	9	0	0
sample_15	chrom2	9	10	0	0
sample_15	chrom3	0	1	0	0
sample_15	chrom3	1	2	0	0
sample_15	chrom3	2	3	0	0
sample_15	chrom3	3	4	0	0
sample_15	chrom3	4	5	0	0
sample_15	chrom3	5	6	0	0
sample_15	chrom3	6	7	0	0
sample_15	chrom3	7	8	0	0
sample_15	chrom3	8	9	0	0
sample_15	chrom3	9	10	0	0
sample_15	chrom4	0	1	0	0
sample_15	chrom4	1	2	0	0
sample_15	chrom4	2	3	0	0
sample_15	chrom4	3	4	0	0
sample_15	chrom4	4	5	0	0
sample_15	chrom4	5	6	0	0
sample_15	chrom4	6	7	0	0
sample_15	chrom4	7	8	0	0
sample_15	chrom4	8	9	0	0
sample_15	chrom4	9	10	0	0
sample_16	chrom1	0	1	0	0
sample_16	chrom1	1	2	0	0
sample_16	chrom1	2	3	0	0
sample_16	chrom1	3	4	0	0
sample_16	chrom1	4	5	0	0
sample_16	chrom1	5	6	0	0
sample_16	chrom1	6	7	0	0
sample_16	chrom1	7	8	0	1
sample_16	chrom1	8	9	0	0
sample_16	chrom1	9	10	0	0
sample_16	chrom2	0	1	0	0
sample_16	chrom2	1	2	0	0
sample_16	chrom2	2	3	0	0
sample_16	chrom2	3	4	0	0
sample_16	chrom2	4	5	0	0
sample_16	chrom2	5	6	0	0
sample_16	chrom2	6	7	0	0
sample_16	chrom2	7	8	0	0
sample_16	chrom2	8	9	0	0
sample_16	chrom2	9	10	0	0
sample_16	chrom3	0	1	0	0
sample_16	chrom3	1	2	0	0
sample_16	chrom3	2	3	0	0
sample_16	chrom3	3	4	0	0
sample_16	chrom3	4	5	0	0
sample_16	chrom3	5	6	0	0
sample_16	chrom3	6	7	0	0
sample_16	chrom3	7	8	0	0
sample_16	chrom3	8	9	0	0
sample_16	chrom3	9	10	0	0
sample_16	chrom4	0	1	0	0
sample_16	chrom4	1	2	0	0
sample_16	chrom4	2	3	0	0
sample_16	chrom4	3	4	0	0
sample_16	chrom4	4	5	0	0
sample_16	chrom4	5	6	0	0
sample_16	chrom4	6	7	0	0
sample_16	chrom4	7	8	0	0
sample_16	chrom4	8	9	0	0
sample_16	chrom4	9	10	0	0
sample_17	chrom1	0	1	0	0
sample_17	chrom1	1	2	0	0
sample_17	chrom1	2	3	0	0
sample_17	chrom1	3	4	0	0
sample_17	chrom1	4	5	0	0
sample_17	chrom1	5	6	0	0
sample_17	chrom1	6	7	0	0
sample_17	chrom1	7	8	0	0
sample_17	chrom1	8	9	0	0
sample_17	chrom1	9	10	0	0
sample_17	chrom2	0	1	0	0
sample_17	chrom2	1	2	0	0
sample_17	chrom2	2	3	0	0
sample_17	chrom2	3	4	0	0
sample_17	chrom2	4	5	0	0
sample_17	chrom2	5	6	0	0
sample_17	chrom2	6	7	0	0
sample_17	chrom2	7	8	0	0
sample_17	chrom2	8	9	0	0
sample_17	chrom2	9	10	0	0
sample_17	chrom3	0	1	0	0
sample_17	chrom3	1	2	0	0
sample_17	chrom3	2	3	0	0
sample_17	chrom3	3	4	0	0
sample_17	chrom3	4	5	0	0
sample_17	chrom3	5	6	0	0
sample_17	chrom3	6	7	0	0
sample_17	chrom3	7	8	0	0
sample_17	chrom3	8	9	0	0
sample_17	chrom3	9	10	0	0
sample_17	chrom4	0	1	0	0
sample_17	chrom4	1	2	0	0
sample_17	chrom4	2	3	0	0
sample_17	chrom4	3	4	0	0
sample_17	chrom4	4	5	0	0
sample_17	chrom4	5	6	0	0
sample_17	chrom4	6	7	0	0
sample_17	chrom4	7	8	0	0
sample_17	chrom4	8	9	0	0
sample_17	chrom4	9	10	0	1
sample_18	chrom1	0	1	0	0
sample_18	chrom1	1	2	0	0
sample_18	chrom1	2	3	0	0
sample_18	chrom1	3	4	0	0
sample_18	chrom1	4	5	0	0
sample_18	chrom1	5	6	0	0
sample_18	chrom1	6	7	0	0
sample_18	chrom1	7	8	0	0
sample_18	chrom1	8	9	0	0
sample_18	chrom1	9	10	0	0
sample_18	chrom2	0	1	0	0
sample_18	chrom2	1	2	0	0
sample_18	chrom2	2	3	0	0
sample_18	chrom2	3	4	0	0
sample_18	chrom2	4	5	0	0
sample_18	chrom2	5	6	0	0
sample_18	chrom2	6	7	0	0
sample_18	chrom2	7	8	0	0
sample_18	chrom2	8	9	0	0
sample_18	chrom2	9	10	0	0
sample_18	chrom3	0	1	0	0
sample_18	chrom3	1	2	0	0
sample_18	chrom3	2	3	0	0
sample_18	chrom3	3	4	0	0
sample_18	chrom3	4	5	0	0
sample_18	chrom3	5	6	0	0
sample_18	chrom3	6	7	0	0
sample_18	chrom3	7	8	0	0
sample_18	chrom3	8	9	0	0
sample_18	chrom3	9	10	0	0
sample_18	chrom4	0	1	0	0
sample_18	chrom4	1	2	0	0
sample_18	chrom4	2	3	0	0
sample_18	chrom4	3	4	0	0
sample_18	chrom4	4	5	0	0
sample_18	chrom4	5	6	0	0
sample_18	chrom4	6	7	0	0
sample_18	chrom4	7	8	0	0
sample_18	chrom4	8	9	0	0
sample_18	chrom4	9	10	0	0
sample_19	chrom1	0	1	0	0
sample_19	chrom1	1	2	0	0
sample_19	chrom1	2	3	0	1
sample_19	chrom1	3	4	0	0
sample_19	chrom1	4	5	0	0
sample_19	chrom1	5	6	0	0
sample_19	chrom1	6	7	0	0
sample_19	chrom1	7	8	0	0
sample_19	chrom1	8	9	0	0
sample_19	chrom1	9	10	0	0
sample_19	chrom2	0	1	0	0
sample_19	chrom2	1	2	0	0
sample_19	chrom2	2	3	0	0
sample_19	chrom2	3	4	0	0
sample_19	chrom2	4	5	0	0
sample_19	chrom2	5	6	0	0
sample_19	chrom2	6	7	0	0
sample_19	chrom2	7	8	0	0
sample_19	chrom2	8	9	0	0
sample_19	chrom2	9	10	0	0
sample_19	chrom3	0	1	0	0
sample_19	chrom3	1	2	0	0
sample_19	chrom3	2	3	0	0
sample_19	chrom3	3	4	0	0
sample_19	chrom3	4	5	0	0
sample_19	chrom3	5	6	0	0
sample_19	chrom3	6	7	0	0
sample_19	chrom3	7	8	0	0
sample_19	chrom3	8	9	0	0
sample_19	chrom3	9	10	0	0
sample_19	chrom4	0	1	0	0
sample_19	chrom4	1	2	0	0
sample_19	chrom4	2	3	0	0
sample_19	chrom4	3	4	0	0
sample_19	chrom4	4	5	0	0
sample_19	chrom4	5	6	0	0
sample_19	chrom4	6	7	0	0
sample_19	chrom4	7	8	0	0
sample_19	chrom4	8	9	0	0
sample_19	chrom4	9	10	0	1
sample_20	chrom1	0	1	1	0
sample_20	chrom1	1	2	0	0
sample_20	chrom1	2	3	0	0
sample_20	chrom1	3	4	0	0
sample_20	chrom1	4	5	0	0
sample_20	chrom1	5	6	0	0
sample_20	chrom1	6	7	0	0
sample_20	chrom1	7	8	0	0
sample_20	chrom1	8	9	0	0
sample_20	chrom1	9	10	0	0
sample_20	chrom2	0	1	0	0
sample_20	chrom2	1	2	0	0
sample_20	chrom2	2	3	0	0
sample_20	chrom2	3	4	0	0
sample_20	chrom2	4	5	0	0
